Dataset,Cells,GCN_ARI,GT_PE_ARI,Improvement_%,Winner
MouseBrain,9215,0.4855320486845828,0.5081391449903806,4.656149139288666,GT+PE
VisualCortex,1207,0.5949376047415608,0.38472340109377684,-35.33382357618836,GCN
MOB,18196,0.6182101366186413,0.25388004545889314,-58.93305036253304,GCN
