Dataset,Method,Cells,Features_Mod1,Features_Mod2,ARI,NMI,Homogeneity,Completeness,V-measure,Silhouette,Spatial_Coherence,Optimal_Resolution,Hyperparam_z_dim,Hyperparam_num_heads,Hyperparam_dropout,Hyperparam_pe_dim,Hyperparam_use_pe
VisualCortex,GCN,1207,1020,1020,0.5949376047415608,0.7102560721314447,0.6766485945829701,0.7473764278373223,0.7102560721314447,0.21107178926467896,0.9240265120132561,0.5,,,,,
VisualCortex,Graph Transformer + PE,1207,1020,1020,0.38472340109377684,0.4591832699029749,0.37773243008740987,0.5854174477624177,0.459183269902975,0.064408078789711,0.8384424192212097,0.3,50.0,2.0,0.3,0.0,False
